"sys_loadingid","sys_cdc","sys_checksum","lieferadrid","kundeid","strasse","hausnummer","adresszusatz","plz","ort","land"
1,I,0x89aba0882236d254f37678d86c785f9fc0f565fcdc42111a321831eb4a0a4b0b,624,"133",Im Niederdorf,"159",,"39218",Schönebeck,
1,I,0x9fbf183327c4abb2dc52daf7a549750c7e7b0def82ad2b516210d0c4b1a3361e,234,"19",Langestraße,"48",,"57632",Seifen,
1,I,0x76423eb7fabce7a422c21ac4c01c624de30c2fd59f24b97672bd14e5fb01867f,186,"195",Eichhofstraße,"147",,"47809",Krefeld,
1,I,0xac49d3235cac3becbb7d9d6329273ca61ccc8e229606b987c323ef577714bd1e,177,"81",Mühlenbreite,"12",,"54533",Hasborn,
1,I,0xa63b4f264dc705ece867f1542c566893480278ee6c2d69ff20f0bc486fd2a0dc,626,"182",Am Flürchen,"29",,"78187",Geisingen,
1,I,0x7b11b95c8caf66e5dc16e8d5381ce26324b59bc3484af87a534a3493f7772879,999997,"998",Rheingoldstraße,"138",,"91793",Alesheim,
1,I,0xbe3d58b879afa442f6993d6fe94ad57d356d8bc48fa2ee577efd9489b2b819e4,705,"44",Johannesstraße,"130",,"83708",Kreuth,
1,I,0xb385b8d08c3ab027f0693caa4f655e7e3daab6337bc555d69ae3be8ac761fd20,346,"119",Georgstraße,"195",,"72519",Veringenstadt,
1,I,0x655b48b93f45695051342bc3f96611ff34051021281074687210e256dcaf72e9,480,"274",Niederelberter Straße,"79",,"54470",Graach an der Mosel,
1,I,0xeaf5510d3f1be5f7d905c588d7bed12d71bc18385edb6cf954a1687592bd7f93,337,"300",Giersberg,"194",,"24790",Rade,
1,I,0xf107c5d1b8bc27bfafed08d219fc4ce2bd16bd6677d4ac1ded6b159d2c50405d,727,"45",Am Ehrenmal,"198",,"55469",Niederkumbd,
1,I,0x62a0582c3cccfb8a317e3d99319cb3c326ea5870c7ad905b9c54db851c3170bd,280,"124",Lange Hecke,"100",,"79112",Freiburg,
1,I,0x16744e7065e9a0841fa9154c660fd5eb80ac1acfda02b994bf769b8619d8c059,781,"143",Auf dem Steinstück,"95",,"45899",Gelsenkirchen,
1,I,0xb876080eb6a396bb7efb4700aa7ca6aa39801c3e0e7e56b3bad2f52d5a4138dc,696,"148",Sulmisheimer Weg,"74",,"56564",Neuwied,
1,I,0x80434cab0751f062e4db6bdfbe28c90c1f575d75c6ae169f3521868fab24bd5e,297,"24",Balgheimer Straße,"124",,"23738",Kabelhorst,
1,I,0x163e6ebfa0d3c11609a70d6586782b37be30b5c7cb7439779e1cdfb716e21106,459,"248",Schmittmannstraße,"61",,"85656",Buch am Buchrain,
1,I,0x33b0bb1f4fc64c07b2cf40b7ffac89e3b9a53a93376c25a04beb0f5a32eb9093,419,"294",Nelly-Sachs-Straße,"126",,"57290",Neunkirchen,
1,I,0xcb80d8e116e6837c193ca6739ccf773b7686f42b0ecb044a89b293db5b7e688d,999996,"997",Theisfloss,"57",,"63869",Heigenbrücken,
1,I,0xf9861bc1294b5dd5047330bd0c2315a44258cd58f657f801437bf56e16dcab0e,314,"144",Voßkamp,"123",,"58093",Hagen,
1,I,0x2ca5b1a2c71a48266b22a34c88ec0c2038243ee503379146b29141be981d769c,627,"6",Lerchensteg,"86",,"16225",Eberswalde,
1,I,0x47aededeec234cca125d81a24ebdacdfdd4f7b329daf915e41fcd69194633fc5,444,"212",Ostesch,"74",,"17390",Ziethen,
1,I,0xbf9017cbddfdc88d0a5fbe6cc3e09e23e92c47621076b1d6038c451cf3eef1aa,391,"97",Am Rundstück,"14",,"25348",Blomesche Wildnis,
1,I,0xa099dd5d1973b341f40b9a2b453c425353504bad7422ac5eb711151ef4af8a1e,689,"276",Kelberger Weg,"26",,"91580",Petersaurach,
1,I,0xa24670ba0495c5e92b096667f4db983024b62b91fa7ec563f77dde50b83de760,400,"76",Mühlenberg,"36 b",,"35606",Solms,
1,I,0xac19eb0a2f0442107558d830e3be7fd1dcbf0466c7af5e707605b3fd7478f7d4,274,"118",Am Südpark,"194",Vorsicht vor dem Hund,"57537",Forst,
1,I,0xfe3b63133c27abf56f4477ca7a3e25dbce3a1675ecdd2d116d9fd8d1cb166a9c,636,"36",Kaulbachstraße,"101",,"54306",Kordel,
1,I,0x6e28938b838e59a0a4b4c56aa6a1ab7715bf7e649931dba64547be103aefa1d6,473,"154",Hermann-Löns-Weg,"160",,"54316",Hinzenburg,
1,I,0xf7a7dcbfaf3f4ea9bddbd0bdf3ad9695ffffaf7f3b484352925c8eac968920aa,320,"163",Herchenrath,"110",,"38104",Braunschweig,
1,I,0x98bd659caf785ae150b2aa992b1c81c7f51fa287d52f549df94c8a61b3d7d852,595,"149",Mensingstraße,"125",,"53534",Pomster,
1,I,0xb63adf3aeb818b2f93068d1513d799f93c3e6845b361aa407398cc7d6da3864d,426,"96",Limesstraße,"139",,"93354",Biburg,
1,I,0xbee44bd189bde77649c03a1db03c2d4549c15e0b32b9de4291fca3ce00ea6971,412,"64",Finkenkamp,"88",,"54610",Büdesheim,
1,I,0x144be80636ebd7acce15667a40c4a4d1e3e8eb3fd66699165acc7db597da5f38,47,"236",Böttgerstraße,"188",,"27337",Blender,
1,I,0x108d1c49f1b4172ff0495d4baca6c232a065aac55ca50986ecb00b39be61f8bb,741,"124",Nordseestraße,"108",,"79597",Schallbach,
1,I,0x563707a34cfbec54590b67b4491137e03eddc74c6625c0c65acd098020078a94,651,"114",Rhein-Wied-Straße,"151",,"86865",Markt Wald,
1,I,0x4d29425a34cc4345000d1b444f7a2e1399d614e616274a050a8865cfaf335109,211,"264",Barmker Straße,"111",,"18276",Klein Upahl,
1,I,0xee1ace01e386a5134008195df444d87731b43bbbfd805e8db98e3f504fd0c959,46,"106",Wenauer Straße,"27",,"54426",Berglicht,
1,I,0xe91c0cef346f9552f50c086193532c075bce2801586fe66847fcd0d326b0c870,83,"170",Nikolausweg,"52",,"24879",Neuberend,
1,I,0x6608cbd0ecd2e1c35b0ee27d017bccb744646889e2f1f36f95f3862a60cac3a2,304,"183",Hachtorstraße,"169",,"97645",Ostheim vor der Rhön,
1,I,0xbd678c2f8beea7ca3ed61c4c51f0e5f3ecea59363ae0c93607530a480affad8b,15,"207",Huthsweg,"196",,"64347",Griesheim,
1,I,0xf858375c8624468d99778e5aad5644488449e267c894cde0c508a2257f0e3aa2,361,"78",Grünepleistraße,"175",,"66894",Käshofen,
1,I,0xc9ecfffa38b45ceb9477f6ae4b8069d0bbb28a99920f4d5d36ae412ca0a0bad1,125,"23",Brabanter Straße,"68",,"34125",Kassel,
1,I,0x6f777f31b16457c5a9b3ebe8d59a0fe3896c81237dd4d44289f6077d6fd2672b,77,"30",Auf dem Haidchen,"91",,"53177",Bonn,
1,I,0x9a7777f06adb2e65a2fc8fc0b8be15e0e5e3806f9a1d021519f132561785039e,140,"16",Auf dem Graben,"185",,"93167",Falkenstein,
1,I,0xd1a8a3caf59d0b0ce4f3b58e746d9a050c95bebf261607ed17c19113cada3399,687,"134",Bischof-Wehr-Straße,"5",,"56357",Obertiefenbach,
1,I,0x3c04d2891c92447512030b91eb6dffa407b6cb43967accfa56ee90d57691bc25,474,"29",Am Hohen Ufer,"164",,"24361",Groß Wittensee,
1,I,0x7cc255d11807256cdc1c698e3fd261e84a099246d09c3850ee55b48233924e35,153,"139",Börnsener Straße,"43",,"41460",Neuss,
1,I,0x59bae69c9f6e4ef326f615ff7e2f0cf8eadc96a9418313499b8f3141d5de10a2,631,"2",Eggenpfad,"82",,"31867",Messenkamp,
1,I,0x4996d10140d8a92d3e4e93e1a0150f4809e307954c257d8d9214bcf98131d467,73,"237",Bischof-Hermann-Straße,"16",,"71144",Steinenbronn,
1,I,0xbd59b692a5a73849d88fbc6c50a369903483d8ec0b00c45c3d6cc53cb1348f4e,182,"218",Arenbergstraße,"110",,"38126",Braunschweig,
1,I,0xda238b958f8de65772a06cd758dc7c371eb30d9b7d34ba2ec1bc353b0fc2c19b,56,"22",Im Grund,"119",,"56651",Niederdürenbach,
1,I,0x22026f9c827026795c060e9bd538cd54e20626251c533ae90993da2a73309fdd,40,"233",Weidenkamp,"13",,"91522",Ansbach,
1,I,0x2ec72c3de82f6a1b4463b9fa7d95057ae4fdb4f1008c52c869f28133af2d0738,355,"50",Ditzentalweg,"95",,"32427",Minden,
1,I,0x7a141c49f8de0bfa036eed22fbfafb94ae13c2fc1448aba00afbe73bd8de4f06,590,"165",Grootkoppel,"138b",,"54636",Feilsdorf,
1,I,0xbeb56c82187bf750d17a9cbea9acf3d27d770e5dfbf8455bf66c6c8ca8c574d8,579,"85",In der Waldemey,"173",,"54552",Schönbach,
1,I,0x4dab25880d16a2ccc43f36fcd2935267344855c772cd3cd78a18e2c2a88b853d,729,"292",In der Loh,"119",,"68526",Ladenburg,
1,I,0x0d09527c90e9de074dd381a9d28ccb08b8a7a1b3b125cc95a2f021498885c9ce,277,"51",Alsenstraße,"137",,"38889",Wienrode,
1,I,0x676829ec79831d8bee1e3cb9a032a1dc4301382642e14340bba3c6a0c433226d,261,"72",Schlägel-u.-Eisen-Straße,"50",,"56412",Horbach,
1,I,0x1a0595c8d8787419947a61bd081ff9c3252503fd7d0e9f5efe2868b09f37552a,123,"174",Frankenring,"125",,"49219",Glandorf,
1,I,0x39bdfdb4948e15275768b9cdbc146acb1089bb40de1f996d3e6fded5dd4eea7d,348,"291",Heisterner Weg,"140",,"55263",Wackernheim,
1,I,0x67fa0daa9a43fcf89e057b192b525b955f4f1a2fad6bec94769c8aadb16782f3,332,"192",Sölder Straße,"86",,"30659",Hannover,
1,I,0xe4f7d1dc78f959b7e8314bfb7372fe209223df8ddae9589078805a1a31facd5a,468,"127",Liersbachtal,"174",,"67808",Ransweiler,
1,I,0xfc86247128786dfe21e17731dad4850f62a3f01535506de3296ed5b9ba2c2eb1,730,"179",Dietrichstraße,"80",,"55232",Alzey,
1,I,0xf18ae1556067c3b80d6fd08f75e05d6cd83dd06277bba8b70579c5a87c549a81,575,"284",Basler Straße,"65",,"44263",Dortmund,
1,I,0x92d26cd6a8e5794cf2e550164391809fc29b148ce30b85998b55cf475135841e,333,"282",Marktweg,"72",,"97464",Oberwerrn,
1,I,0xbd120c50632503974b16c2016fa96dd5a0421815011d225261078efb2c3bc30c,800,"200",Am Schafbach,"176",,"76879",Ottersheim,
1,I,0x79fa7865687c798737ea7c8dfd4a54997ed43c3b90bc8d2985e3f9dc64f964db,484,"97",Auf Heinzenbuchen,"101",,"38709",Wildemann,
1,I,0x3f8e0f8a087eb8ee22ee04e2a8295995374c4f5cbad569b79ddb30b45ebc6921,189,"69",Wäschbachstraße,"185",,"51643",Gummersbach,
1,I,0x2ce0b151b0dbfcfea147a8d9568a9f0637db706f3d83cbf0f53de9ad8cdbb81c,712,"25",Geiststraße,"169 b",,"30521",Hannover,
1,I,0x2117fce21f06ea3e1ad5566cb4689fcccc17b82bc8e04ef3c664a5200522e785,569,"71",Am Halloh,"142",,"54668",Echternacherbrück,
1,I,0x28528a2c2cb34822cae40ac817b587b494273d5a1de9063ae94e4c0fca3970da,404,"255",Delmondstraße,"185",,"76669",Bad Schönborn,
1,I,0xa59aa6bb6eedbad9d253c101b2841f76fec8c12c05e0a7240416276a3788f868,507,"49",Zum Wiesengrund,"21",,"25923",Lexgaard,
1,I,0xa54faa1eb5fb1cebe264e2679026c41ff735b5e4a8119452bdc6057bc87dd89a,596,"92",Röntgenweg,"18",,"57610",Michelbach,
1,I,0x03a5180417ec57bcfc361270fc983ae731307b451e1b4ba7f8b421f40ba18974,547,"132",Auf dem Stausten,"59",,"78141",Schönwald,
1,I,0x869044891f258849e738e227a9a72282580dcd1c9efc489f7e014cb283302868,233,"185",Von-Thünen-Straße,"30",,"67308",Biedesheim,
1,I,0x1d9e0e4f6dac16edd062581a9397bb81aa9fedd8959eb7e2e044ee7946f37fd3,485,"286",Methweg,"44",,"65191",Wiesbaden,
1,I,0xe9021837ddc4ce4a15f2ca3d0a2773514b259fd2330ebe4118478453e5e708ac,578,"261",Mersmannsstiege,"157",,"55481",Todenroth,
1,I,0x4fda896dc42e04c328b0793323e2c195be2bab02ef084b02f3fa5d129d9cad4c,556,"187",Im Spring,"90",,"58636",Iserlohn,
1,I,0x44096a380967808cebc3621d4a7a9383b745d403068b48bb28109803ecb69608,376,"38",Wolbecker Straße,"80",,"37632",Eschershausen,
1,I,0x00518a8ff18cf37e06e6c7a220e19e6d9b7af0846ad7be5cf4d1cbd07d6b9bc6,226,"182",Am Hohen Ufer,"66",,"56242",Ellenhausen,
1,I,0xa4140d2c19a7a3095e6658aea53b7db656b8df2fdc09cc0d3f3e6fcd2b92a76f,500,"104",Merkelheider Weg,"68",,"94505",Bernried,
1,I,0xaa1cad7c95861b7d49b7556a7d86a8894a1cca5e338ca61470bba2a47a7bf858,723,"73",Heinrich-Heine-Platz,"175",,"56566",Neuwied,
1,I,0x8783300b9124294b6881a7fa5bd7df9655c6403e4fbaa723feb8c5c7047e5b3a,13,"33",Auf m Henchen,"99",,"56472",Lautzenbrücken,
1,I,0x3b69c4a4a8f4b2bc23cbf302bfb0bb356ab11c4e30290bfa1fd661e691210f13,566,"266",Kiebitzpohl,"40",,"39118",Magdeburg,
1,I,0xa930cc3d40c207e2a26fdb7c788f9706c2fc970ed586a9459bcdee50bce01ecf,515,"242",Hohe Oststraße,"169",,"54570",Wallenborn,
1,I,0x61d00ff2e0b11bf2c613689c781b81afbdf83b57d491fdef2253535eed5071da,91,"241",Winterstraße,"23",,"55758",Allenbach,
1,I,0xaff46b661648de8bd94708064971a329e2cc277880b3bbcaff148989e8563f7d,695,"115",Am Ginsterhahn,"141",,"25859",Hooge,
1,I,0x469007bda0174f3ea942612e5bf9e1147448c8eff802f49c6681442997bf154f,642,"247",An der Floßwiese,"2",,"73572",Heuchlingen,
1,I,0x55b40317fcd85b451613073e00fd1995dcff2a1fcf1b875b6b5318a9f4384b0f,737,"282",Unterer Berg,"72",,"35114",Haina,
1,I,0x1cabbacfd66a7fd9cb7689e86fce7e68eec683ec3cf7f4c4f8e088aab5331cc0,770,"80",Rochusstraße,"93",,"10969",Berlin,
2,D,0x,111,,,,,,,
2,D,0x,611,,,,,,,
1,I,0x5f2b5a725c996f445e8cfdcc1099a730c08b67ef407360330eef6e8ee3b193c5,433,"18",Worringer Straße,"98",,"31812",Bad Pyrmont,
1,I,0x2ae81af7cd3d69dd45702adb8212614439998a7c18876576cd4e4778c8a4d9f7,540,"222",Am Nocken,"52",,"53489",Sinzig,
1,I,0xed23103fc4df2a97d9598630ec85c61e743ec39173602b5e2bb776f2d34847c8,303,"160",Im Park,"125",,"56858",Liesenich,
1,I,0x9ee8c5916ea1d6aea951e09d1433f8b5577a78f853fc35ec58f658177db814cf,293,"148",Buschmühlenweg,"149",,"67317",Altleiningen,
1,I,0x7b2d90e3996f3082cf4734578dde6f615637668cce70faacf0dc0da35b8e4894,543,"100",Pfaffenhausener Straße,"69",,"66557",Illingen,
1,I,0xd4b058b5a5b5dfc0e78424f3febf5aa8e55cce05f8a638cf65deeac5070258f8,782,"167",Kaarster Straße,"12",,"84106",Volkenschwand,
1,I,0x609cf32e2c24969e5c784cfbc2fddba94b01a3071e7cb2c2245b383756eaf87e,610,"296",Barmer Straße,"56",,"57612",Eichelhardt,
1,I,0xec1cd805468458ffa7e729e230818427fe9737ff9f2a1065a90a9d67b2a73ab4,365,"72",Thiergartenstraße,"15",,"66887",Elzweiler,
1,I,0xb680c84016df50fcedfc257a92983b9d738afb4ffea2b9b09cbff7b4cd1f4ca9,532,"143",Obere Heide,"193",,"74391",Erligheim,
1,I,0x4f39d4f49546000a2e37a3de01edc773619ca8773148ec408e7da1792a157563,287,"5",Salmgasse,"195",,"17498",Dargelin,
1,I,0xc237bb201e610978fe0f127b7f2f0693756e3b18d37150b5ed6b843fcf0670f7,165,"263",Alter Venloer Weg,"152",,"27327",Schwarme,
1,I,0x83e9725f62c2401b56bbdb6e84b118c8823f3d2a93d59759aa26971241dcbfb4,748,"222",Gansenbergweg,"57",,"77876",Kappelrodeck,
1,I,0x8cf3f2cd77f359b4147d97d972b970a71d2dfbb882eca63534df680162f91b2e,21,"81",Richard-Strauss-Weg,"66",,"19230",Pätow-Steegen,
1,I,0x3496198b81058c6b6c43af0fa4a97bc98726d32d224b86fbf27e6dd7799a4be1,152,"249",Oberste Bitze,"18 b",,"88416",Ochsenhausen,
1,I,0xd874b2291eb962f993101cf8cc614ad4cadbe649468731cd0b6743f7a41ac941,719,"232",Brenscheid,"42",,"49843",Uelsen,
1,I,0xccbf149ce091257d4482230e8cfab119cb70d6932c7dbad064d9be875e34b7c0,536,"101",Bertolt-Brecht-Straße,"191",,"37079",Göttingen,
1,I,0x94c8f0ed27854f78ce5694faa1c50fe242bbb1ed69dac941335922043e9ca1a9,475,"227",Neumühlenstraße,"124",,"86928",Hofstetten,
1,I,0x631fb0c7025918da8d128970113b61566f5a63e75e99430d2c33ee1bc9da12bc,570,"68",Siebengebirgsweg,"40",,"88138",Weißensberg,
1,I,0x37c192ec0d618c1bb57af1f6d3563cbe3e2db6724083d3355cac19d6fd0cd59e,401,"52",St.-Matthias-Straße,"123",,"73463",Westhausen,
1,I,0x4a03d9fa29443b739a1b6957bb10da3304b8a911f35f6642516181a2381fba04,462,"265",Greifswalder Straße,"147",,"45141",Essen,
1,I,0xf4a7bb9d9257780d94edf642f25cc75d23b765be7f939bdd7efc42319d2af9e4,281,"99",Zum Thiesenhof,"74",,"91077",Kleinsendelbach,
1,I,0xc061c9f74a93e50d50321d5bee8d721b3e7382a5d93a5fbc2683dc51cf50e197,5,"217",Hochstadenstraße,"79",,"49078",Osnabrück,
1,I,0x77f1a255cefedbdf07c55e034f28935cea3d6d96efd0e59fa179df4193820ade,301,"280",Im Acker,"198",,"86576",Schiltberg,
1,I,0xe1b55e6237b6b9846e82011d388a145e20c396aee10de195071129c13612b92d,461,"108",Schneidlinger Straße,"153",,"90587",Tuchenbach,
1,I,0x67e2ba9250e8c51a938f5cf90cb503dec3f057b2ec8907917bc10e0afeed2315,789,"52",Hahnengasse,"184",,"25764",Norddeich,
1,I,0x1395796e461ae27dd70e671d9843355ffd717336c41bdcf3bea01a747ceb29d3,499,"128",Kruppstraße,"33",,"61194",Niddatal,
1,I,0xfe2c2f8813dfb96ab3d4f56f07ed14209a8d2e5ba5a34b74d27894eeb45c79e2,181,"129",Auf der Seeburg,"166",,"56244",Hahn am See,
1,I,0xa96915bbb5882d580a7ff1edd42756de3c1546fa356c02926356bb6981f11607,340,"196",Bennigser Straße,"48",,"96050",Bamberg,
1,I,0x494a05fb0004dfa2696137e4b23fc6ec815c011db43f15588aab4f7b6a0dd7ba,593,"19",Beckerhookstraße,"63",,"35684",Dillenburg,
1,I,0x321fa2e13bd3ba0625beefdc61ff0c65302d3a8909062c2cd1c6b5a672d7de2e,498,"107",Stresemannstraße,"172",,"64625",Bensheim,
1,I,0x0103e5dfff67f0c92b3465090ef7ad02710078a83f2f276a817480042b559271,661,"216",Kastellauner Straße,"78",,"26427",Holtgast,
1,I,0xe7d918852a297f02e30d20a5141863d6d017f9441af016001292dfc378c13366,367,"219",Sonneneck,"110",,"32105",Bad Salzuflen,
1,I,0x629f51e13bb8a082635bbca469dd86079ad93e18e487c35953c1eed5957f4c1f,392,"11",Laar,"196",,"30629",Hannover,
1,I,0x32d9961e7b0e38adfa2b69994ed833a26017684c08f557bbb8529c847848da67,609,"63",Ohmstraße,"141",,"24888",Loit,
1,I,0xe4a15b9c7fee51a1ce5f8a3142bc30bfd8f1be7abf5b2f58c058efd58e7dfb12,298,"180",Kantstraße,"75",,"76137",Karlsruhe,
1,I,0x693278953c86aeb416b64b750d471cba31129d84fbd12793c27ad9502f38feac,429,"37",Kuhheide,"117",,"63546",Hammersbach,
1,I,0x50e3395d5aa17e9e023266b6d4fe7f69ccbdb04258897b3df2bb41eb25af008e,718,"42",Barmker Straße,"28",,"55606",Kirn,
1,I,0xfc559267ff9d46188bf2a53dc55e75c519cfd448172989f4356ebf33c5fcd704,999995,"997",Hahner Straße,"77",,"78250",Tengen,
1,I,0x1e79a0da97ae66e44cc86f4969ae026a540766839a41eb657e438d680f90005a,519,"194",Nordweg,"16",,"78601",Mahlstetten,
1,I,0x2e95655fb83a14821e04d7587f7df796ab95837daf75bd6064b00b131e43aba9,432,"39",Rottweg,"92 a",,"42719",Solingen,
1,I,0xd7cb16010c418462286e6f397d042743a138b3d5cb9b748feaf11621f791a952,690,"157",Schenkendorfstraße,"126",,"72469",Meßstetten,
1,I,0xb26dd33d591484395a787ed001273487e1636a455869d3dd060c6218d572bdfb,673,"295",Heisstraße,"139",,"94239",Gotteszell,
1,I,0x44381d2227ad69516174a5dea69f791c018d96762b5d729e4d75187ca7bffd7a,656,"151",Schürmannstraße,"41",,"78564",Reichenbach am Heuberg,
1,I,0xcfaae2ecf6e2ae3598e5c2f25f4ff0fc8822e0c3a1023c56a6bdf8ae6f8e6c10,625,"86",Am Kreuzweg,"47",,"91459",Markt Erlbach,
1,I,0x2e3789e426c24597e6b571b09442f0850eb758fbe7b53efe6a23ec0030377afe,254,"287",Von-Bodelschwingh-Straße,"131",,"66903",Gries,
1,I,0xf79c8e783971dae73bacabf5bb813a5da9490e059b6049a3afa7462bfa2940cd,112,"10",Rheinuferstraße,"77",,"92545",Niedermurach,
1,I,0x722f4d70b442244ca934c525766ae99e081d4db625079d834a85bbb5eadf6d82,96,"181",Ochsenkamp,"193",,"25832",Tönning,
1,I,0xee27dddf30484050f997ba7d5e2f9cd61a30daad5217ed12384ddf136aaf7acd,694,"96",Heiligenkamp,"132",,"28199",Bremen,
1,I,0xe54302bd15090f11b0702bd8a43b4faa8900b9e359ff65fecf95228366591600,581,"32",Dr.-Wilhelm-Külz-Straße,"191",,"66887",Rutsweiler am Glan,
1,I,0xafc0016dd4053dbd2f626c1858a59a4ef665932eb020c10dcd0edafe2079e101,396,"16",Rieth,"60",,"66917",Wallhalben,
1,I,0x4e6f6cd8db3592f0cc874dbe3b6e9020e42bf0a8c07eea5947ca1a579173ca2a,679,"40",Jägerpfad,"26",,"23815",Westerrade,
1,I,0xa9f41d1aef04463d998e7f5ed047c14bde44988054e4c10f04f415d056f0d37a,107,"172",Deutz-Kalker Straße,"123",,"83043",Bad Aibling,
1,I,0x2f8ffd6fa76698b47839a019f14ac90fe86eac275e2ef9367673ee7d4c744c64,493,"186",Kämpensiedlung,"186",,"24247",Rodenbek,
1,I,0xafca16d902c4046ed4a43e03a7728d2030a7d3aad9d456fe8127ac17ae0e45d7,600,"300",Alte Schule,"95",,"76891",Busenberg,
1,I,0x95fc7eb462040edeb417400ab43cd413289d60c53ea35741fd3f5329dd629ebb,319,"240",Kardinal-von-Galen-Straße,"128",,"56244",Hartenfels,
1,I,0x8694458ff7148a1c46aa6ef5a6c1e9464e4e5950a3c2c3d3d8df5fded89f012f,530,"1",Neue Hoffnung,"37",,"54455",Serrig,
1,I,0x56f70cae8ab72b434d63e98edc37137dbc553fae9f4f42e51e7fe3786a6f5cba,775,"149",Alter Weg,"188",,"73066",Uhingen,
1,I,0x6826393cc5771130f97064d38f4d57ad576f9a0d6192a99ad6f0b30e5c7f2a8e,221,"90",Wülfingstraße,"179",,"86558",Hohenwart,
1,I,0x8af54cc9ec53452db6fc7876bd83b2a3e5260e31c0e9f2d60fa37a85cdf98ee0,435,"185",Im Bubenstück,"86",,"89429",Bachhagel,
1,I,0x9e8936d15fb8fb657b513a3e697092a5d67edad896cd6f614806fc27fa262b57,653,"181",Harperscheid,"138",,"55606",Oberhausen,
1,I,0x24772bde04bc057a746a32e81036b13e21c93ac71c8f872a8d42816e3923c160,654,"80",Walder Straße,"176",,"58093",Hagen,
1,I,0xaa02da1303c049056a3c9e84fd71df7f629df25dc77ae3d7d522276c94346c2d,576,"12",Stadtbusch,"157",,"74391",Erligheim,
1,I,0x8fdef5db1dff73dd257a6ba191a9e30bd2b1afe8f84341605346ef34a1aaf528,759,"116",Nahestraße,"5 b",,"75038",Oberderdingen,
1,I,0xc781e735ca5448605c3b267fc66558945a1628929b9bf36f7b69d78bb8dff127,258,"197",Junglasstraße,"114",,"31719",Wiedensahl,
1,I,0xfd7035dc9dd385c9749b95ca1e893c88d9efc5e9e8a0ce2458ce5cfd7250817b,589,"6",Loo sche Heide,"68",,"58640",Iserlohn,
1,I,0x97af0dcce412e956eee9888f67077f3eb5f9efc562f9ada32a39d8ec73b1db41,398,"53",Wittenberger Straße,"98",,"53925",Kall,
2,D,0x,657,,,,,,,
1,I,0x9170851e95a7c4437950944dd01c33bd30195925ad8af1dbb0726f3eec5c79a3,108,"165",Hedemündener Straße,"17",,"74382",Neckarwestheim,
1,I,0x32a71e706f3003a933db0e5a2c54a544ab4ed39421d46883648fe12910f3a5d9,19,"51",Schäferstraße,"135",,"24641",Hüttblek,
1,I,0x56a0cc4d689002b2836b8b0db9a4ca1d9535bc753144e4dd44146edd21db0bab,643,"122",Siebenbürgenstraße,"99",,"56812",Dohr,
1,I,0xdc614f04455ce927213a083422ef5ff6733c6a7e82f8cb3967b5d658cf21435c,215,"38",Wilhelm-Leuschner-Straße,"189",,"24805",Hamdorf,
1,I,0xef8201e161a26412e3d81a86fdc397f7fa911975da332c021d1fa74a19a9a4b7,65,"206",Walkersbrunn,"94",,"72658",Bempflingen,
1,I,0x0e7017a03b3ee7f9053d633e8b78e0a4bc720b342850a52fb4a26797f079522c,52,"189",Deterberger Straße,"164",,"38381",Jerxheim,
1,I,0x70ec349666a987d51e9f93d311c1bbf61d9cb53790ff4965c44c2e09f4c9b9d4,635,"206",Zaungartenstraße,"18",,"34253",Lohfelden,
1,I,0xca213734a244589331ec1f0b685c63f821735003cf48c7e668e27a149884f7b5,366,"228",Bruch,"61",,"96524",Föritz,
1,I,0x0ef031535bf473688beb4188bfce399de041c2a979a0aabf87a995c59afe6ffe,317,"248",Wolfsgasse,"71",,"75242",Neuhausen,
1,I,0x1f9e627bdacdb30a28dc5cc028f71d045495601d22e6b1a8c9c23b441639b976,440,"72",Im Unterdorf,"7",,"53505",Kalenborn,
1,I,0xc8137c83d1a57af43688714b9fe606e54e4c73377e39bb11142d3a3b483f48da,37,"99",Waldenburger Weg,"105",,"55424",Münster-Sarmsheim,
1,I,0xb1fba7b2bfcdb17d28446ae1498cf122d25824f54a7b9d2ef2066bf02c6311a6,85,"25",Steinbergstraße,"150",,"54673",Bauler,
1,I,0x0e365feec44ff84cf49f6b60b490d57e63ac9bd5ed4d2cf8b3947b5c2a4bab16,421,"65",Auf Mathiasberg,"109",,"45896",Gelsenkirchen,
1,I,0xb16e182855512e93c4cce66561c451f8810c182cd8622d2165abe20f1141e09a,32,"46",Auf dem Felde,"42",,"23626",Ratekau,
1,I,0x0cf664e1afc1fddc814d6bfb012b994b420fe576d51f357d2a5fba55c1f29b4d,546,"173",Gilgenborn,"154",,"85656",Buch am Buchrain,
1,I,0x7e3c6f34b870120274a4ed145814333bc1c3f5ba65c3ee2b655df57c6a5dc284,358,"50",Michaelisweg,"130",,"84381",Johanniskirchen,
1,I,0x83d763e6e9ca466e41a55416238f7bc59c11c1d42da1429dce2cedd1a4cd819c,701,"85",Seilbahnstraße,"146",,"68723",Oftersheim,
1,I,0x32ff402382ca8a7f617f265a8d44418aa365754bda2ff11c7dd7788279710e2b,164,"74",Pommernstraße,"76",,"54526",Landscheid,
1,I,0x30f4dac702ceb00201b34fa91377af44dc0820a574e4a6ac57f703d760f3bc5b,736,"96",Josef-Pütz-Straße,"80c",,"30851",Langenhagen,
1,I,0xec6d138a7ebaaf4e23e4e71a2334bbe1da7897b719c8beb35e6f986e02a3d0df,326,"48",Masselbachstraße,"23",,"85579",Neubiberg,
