"sys_loadingid","sys_cdc","sys_checksum","bestellungid","kundeid","vereinspartnerid","kaufdatum","kreditkarte","gueltigbis","kkfirma","produktid","menge","preis","rabatt"
1,I,0xebad900b753b856cec18d88b6e6f27e70de75468984bb45d1c67363d9dee2a08,RS0000540,"361",GlückAuf,2022-03-05,"2600 8200 0609 7750",Jan 88,VISA,11,33,8.00,1.10
1,I,0x49a80ffddbe74a74ff7973d3fc365cf400043030c77670a69ebb0909ddc1f302,RS0000829,,GlückAuf,2022-03-05,"0000 0850 0305 0000",Nov 13,American Express,114,39,4.50,11.40
1,I,0x353f541efd2773de8a57459f1e1f9410da3f2ad0c6c29a3cb8d189071e5ae9cf,RS0000696,,GlückAuf,2022-03-05,"0500 0000 0209 1298",Mai 14,VISA,37,13,0.50,3.70
1,I,0x7f681232b5fb188bfd2f200bf548b45342b38b4014b2b789026bff5b3edcf27e,RS0000839,,GlückAuf,2022-03-05,"0000 4075 0500 0000","09/00",Mastercard,68,40,5.80,0.00
1,I,0x304edcd252e132f026ae41416d2cc9f615510954e1ffdd0a2fff683fbf0fea37,RS0000099,,GlückAuf,2022-03-05,,,,90,48,0.80,0.00
1,I,0x8170a6a8347bd978b867cfb5be901fe98f4e71a6fd5b161daeee96ccbd983421,RS0000257,,GlückAuf,2022-03-05,,,,97,34,8.80,0.00
1,I,0x9e93aa07097d01e6d3931208433454802cba3f9e60363e18451a59375c64d062,RS0000144,,GlückAuf,2022-03-05,,,,28,14,1.80,0.00
1,I,0xb0f34056acc07333e62fa23d8dd717eab7c09146249dbca9dd7facb14dd60970,RS0000079,,GlückAuf,2022-03-05,,,,4,32,4.80,0.00
1,I,0x9b34b9af5cd0752ca858269c88517a3b43258baa207b9bc7d8d55b8fcaa913db,RS0000830,"204",GlückAuf,2022-03-05,"0000 5645 8410 3100","11/00",American Express,114,27,4.50,11.40
1,I,0x5e291eebbfc2179fe3c4449b9efa5fa456570ae8d058868967bbea59b9992ece,RS0000054,,GlückAuf,2022-03-05,,,,97,21,8.80,0.00
1,I,0xd51c68129efef2370dd0b01af1150c425289473a7b2a0031455561294fcfaded,RS0000295,,GlückAuf,2022-03-05,,,,21,10,3.80,0.00
1,I,0x27a56a3ff59bc1819cfdafa97b6d481e9a300454f1471ced338c8f86b4d21d9a,RS0000795,,GlückAuf,2022-03-05,"0516 2000 0862 1252",Jan 90,VISA,68,33,6.00,6.80
1,I,0x906d94271c118cb1e1521d1b49ec1b284202b0179659918882654f5afac18461,RS0000689,,GlückAuf,2022-03-05,"0000 6071 1600 0000",Okt 15,Mastercard,95,40,1.80,0.00
1,I,0x301d42001cce24193f9eeeb842854c057d21a14c9d27dafaa3441d0d0fd99344,RS0000217,,GlückAuf,2022-03-05,,,,109,36,2.80,0.00
1,I,0x8e112be8cda64e5cb84a763e9a603e11871a36d8bcaab26f75a724a5b711cdac,RS0000768,"397",GlückAuf,2022-03-05,"8624 5100 0454 7890",Jun 23,Mastercard,64,16,4.50,6.40
1,I,0x19ae87e32102afbccc578a2c20516ec9b9880353615f5574a8d9640a2e02f812,RS0000048,,GlückAuf,2022-03-05,,,,43,28,2.10,0.00
1,I,0x74b556342596a42b89814b707bde29698effea6324b697909c4ea8aaf7aac3f5,RS0000186,,GlückAuf,2022-03-05,,,,20,31,7.80,0.00
1,I,0x982eb68560f97e6ac27d5efe8a30a743c8c99302904b0551e489d8053e72509a,RS0000525,"56",GlückAuf,2022-03-05,"0000 4326 5626 9400",Nov 14,American Express,101,3,2.00,10.10
1,I,0xa8444246c76f9807db85b9d8e1498560938474ef9cf62bfef2261d531c5b8d11,RS0000476,"130",GlückAuf,2022-03-05,"0000 4114 0613 0800",Apr 23,Mastercard,111,39,7.80,0.00
1,I,0xd9bdb4914a837927c86cc2e3c4e9539fba739fe3d3964b2b4213e3773ead2052,RS0000635,,GlückAuf,2022-03-05,"0000 1570 0932 0000",Nov 23,Mastercard,100,3,5.60,10.00
1,I,0xcb5742e5499ecce9c52e8261bcfba1cc60c4de10e0fb199152820922101d3d52,RS0000814,"71",GlückAuf,2022-03-05,"0000 9372 0501 0100",Apr 19,VISA,80,30,3.80,0.00
1,I,0xf9a4f8e72fb68ae603821ad5f4c43a45814ce82bc04dd620767699d1215c5ebf,RS0000103,,GlückAuf,2022-03-05,,,,77,40,1.80,0.00
1,I,0xe4c329b25a397db1f098616082d85d2ee1abc46ec04d0efa71afe8bb975e0028,RS0000019,,GlückAuf,2022-03-05,,,,109,46,2.80,0.00
1,I,0xcb22093575b8c39a757daee7fa96e40754fa7aea9adc957a08e78920a6e4f385,RS0000494,"16",GlückAuf,2022-03-05,"0000 1551 1519 1900",Jan 23,Mastercard,93,22,2.10,0.00
1,I,0xaa289479dad7c8487b2d5ad61b579827c0cee2a4e051c65ca1032024b32bdc0d,RS0000644,"193",GlückAuf,2022-03-05,"0000 2676 0695 5900",Mai 23,VISA,84,14,0.55,0.00
1,I,0xa6d0f4111a7e3c92943fd4d24cd87b93e82d0e3378b90182fcc1ac9e88ee1ccd,RS0000508,"259",GlückAuf,2022-03-05,"0000 6152 4109 0000",Sep 19,Mastercard,97,23,9.00,9.70
1,I,0xd6a7f5de3d277f9517e01f9b51dae14b70c8a9b5f87d1e05c6ae976a6f682972,RS0000124,,GlückAuf,2022-03-05,,,,36,38,0.30,0.00
1,I,0x67efcc0e28f36e048918f7777076adbe03c1963183806135887d78aa2fbcd685,RS0000343,,GlückAuf,2022-03-05,,,,88,32,0.30,0.00
1,I,0x893942af8350d9bd9d2301e38658a55fe1de736eaa88b5f6721aef0c2b47872a,RS0000789,,GlückAuf,2022-03-05,"0000 4832 0603 6200",Jun 83,Mastercard,88,17,0.50,8.80
1,I,0xafcd4e35b8dbe1c583b6d20ad1239c8870ea98aa43f05a55bf815cf5f5d30590,RS0000364,,GlückAuf,2022-03-05,,,,23,16,2.80,0.00
1,I,0xb7a617aefb9985091c014f885f587d26b38efdd94a184fa7b1a057df4109b4ea,RS0000334,,GlückAuf,2022-03-05,,,,47,8,8.80,0.00
1,I,0xb1c1df575a7ff51e3fdb3f80461630f88e9c4169c60a5ad8670d0a0d5f4263ff,RS0000771,,GlückAuf,2022-03-05,"8643 2200 0056 4080",Dez 23,Mastercard,15,4,4.50,1.50
1,I,0xcc0aee908ee25e439addbf1ee3c9403ade753672974a5d68ce238f4e009a84ed,RS0000862,,GlückAuf,2022-03-05,"0000 8260 4200 0000",Dez 18,American Express,105,16,5.00,10.50
1,I,0xd2bf8caad452998e4eeead226f67e722d4dde8a423ad2f50461ae66e9d61f5f0,RS0000308,,GlückAuf,2022-03-05,,,,90,25,0.80,0.00
1,I,0x35fa23e753751a6bab7afa3f5cdf7bede7855d9e5bee1f550f4d68e130c7bfc7,RS0000284,,GlückAuf,2022-03-05,,,,67,6,3.30,0.00
1,I,0xa688d736618b7055e42a9bdc0f55508cb36ab3303139d9d3db0ea22275a89923,RS0000529,,GlückAuf,2022-03-05,"0000 1482 0641 6800",Nov 23,VISA,7,32,7.80,0.00
1,I,0x7ad6efd073e61f4b797a3f2a0a93be80a24f1d7b5a4f7c0ecf4f2123bb03bcde,RS0000759,"367",GlückAuf,2022-03-05,"7625 5000 0467 5020",Jul 23,American Express,114,43,4.50,11.40
1,I,0x7a5555d33e8d42d85a97030f0ffcaf2d5194e6c289e37aa63650ea3c4844fdb8,RS0000411,,GlückAuf,2022-03-05,,,,83,40,0.60,0.00
1,I,0x246c99a11fb2d96e60e412597dfe958149bb475a3bfc874f20567159f16c2836,RS0000272,,GlückAuf,2022-03-05,,,,36,49,0.30,0.00
1,I,0x73734a217454cfed1600e634ee8be18b621fc789a7b9f5a755b393340e996bb7,RS0000162,,GlückAuf,2022-03-05,,,,93,46,2.10,0.00
1,I,0xe9400ae3db40d57099e5b590cf3e2f6f0e9697c6d07f55f506966b8cb8c27763,RS0000703,"387",GlückAuf,2022-03-05,"0500 0000 0682 9677",Jun 23,Mastercard,102,30,4.00,10.20
1,I,0xf37500a0a9c9a495c7aa1b76fced3efc05c2ca851c565d1358e1d46c3f310117,RS0000247,,GlückAuf,2022-03-05,,,,9,5,2.80,0.00
1,I,0xdce388e7278a781b95d401db8ed1c3cd6763f4024cc927d6af8f64deb4000525,RS0000407,,GlückAuf,2022-03-05,,,,4,14,4.80,0.00
1,I,0xee8cdbde13f09901822028fe7962a5565e16d841d2a22d8647ca66ce22decac1,RS0000163,,GlückAuf,2022-03-05,,,,80,30,3.80,0.00
1,I,0x431cc386d6fa3cb1acc8657e4ac455d6c6be2b7e012016b0e80ebba442336213,RS0000158,,GlückAuf,2022-03-05,,,,32,10,4.80,0.00
1,I,0x58af5786774ff082f434bc83390e9ba4578e87f1d9cbb0ec0eeeec78967ebbdc,RS0000792,"212",GlückAuf,2022-03-05,"0000 6325 9800 2700",Jun 88,Mastercard,83,34,0.80,8.30
1,I,0x1611b7a9dbff92a2d171e038f30f20e6ab658d05f497eda2fef25a8fd6dc7632,RS0000114,,GlückAuf,2022-03-05,,,,116,38,2.80,0.00
1,I,0x304edcd252e132f026ae41416d2cc9f615510954e1ffdd0a2fff683fbf0fea37,RS0000020,,GlückAuf,2022-03-05,,,,90,48,0.80,0.00
1,I,0x3d95a42d53eab2751cdf54d9441a1dcaba8eaf0aa047682174cd5704e61f55a0,RS0000194,,GlückAuf,2022-03-05,,,,70,28,7.80,0.00
1,I,0x0e1d64a6613e2bca3904880c91f6d2d71afed706154a3601d7b81ad0a87762ec,RS0000471,,GlückAuf,2022-03-05,"0000 2526 0624 3300",Aug 19,Mastercard,65,7,4.30,0.00
1,I,0x7898c32635e5f9e723496fc2a26602173202077760711e2b06c7b845a0567f47,RS0000181,,GlückAuf,2022-03-05,,,,113,12,4.30,0.00
1,I,0x4c9e27e39b86c352dc6f931c885afa9cdb026c7e68fc8cf9eca3d08e1f696d51,RS0000108,,GlückAuf,2022-03-05,,,,122,1,1.80,0.00
1,I,0xf6a286f194b84769c6e6b9b83c540f3b3948ae51e2b05954485393ed03201599,RS0000505,"22",GlückAuf,2022-03-05,"0000 7337 0400 4400",Jan 19,VISA,107,8,8.00,10.70
1,I,0x815796ad22242f2c01623c4b951a0b5984165443684d390422926525095f2589,RS0000024,,GlückAuf,2022-03-05,,,,74,29,2.80,0.00
1,I,0xd757b6b67ea071ed243413b3b54ebc72ed383fd3b91803545efb3b4f644905a5,RS0000650,,GlückAuf,2022-03-05,"0000 7072 1608 1800",Mai 23,Mastercard,69,8,2.00,6.90
1,I,0x73feb5eb91483c57b184be99a920c62dc39a1997abe4df785a9994da1ed9f47a,RS0000716,,GlückAuf,2022-03-05,"0000 4815 0504 0000",Jul 17,Mastercard,2,30,4.00,0.20
1,I,0x51f9e4dbb1460321e11a07b625a9a89ba0e679c1c07740510cd13646ccf8e3cf,RS0000528,"300",GlückAuf,2022-03-05,"0000 3265 0922 0000",Sep 91,Mastercard,87,23,0.50,8.70
1,I,0x9aa44d3fc8585a62eeb436bedbeb4b2c9e30aa95728ef8af2ce09b71052ca690,RS0000083,,GlückAuf,2022-03-05,,,,95,2,1.80,0.00
1,I,0xfa01b17ef19576a52d13a35f144dfc5f0327c2b7717ff154b0fd45057387d868,RS0000369,,GlückAuf,2022-03-05,,,,65,25,4.30,0.00
1,I,0x26b1873fa34d7e948245d50ee7c71693ac729ee4e062dee9531af41f5aa037c6,RS0000084,,GlückAuf,2022-03-05,,,,93,24,2.10,0.00
1,I,0x35fa23e753751a6bab7afa3f5cdf7bede7855d9e5bee1f550f4d68e130c7bfc7,RS0000300,,GlückAuf,2022-03-05,,,,67,6,3.30,0.00
1,I,0x60650f1dc2a6fe99f6e03368588202aaa9a6b590ea576960eb8f31acee96b24e,RS0000874,"274",GlückAuf,2022-03-05,"0000 9750 3305 0000",Nov 23,American Express,25,8,6.80,0.00
1,I,0x2fd4ebc95d7899d8487ffa5a6bf64e7b516b0b2ada18874f30cc7007ae562096,RS0000229,,GlückAuf,2022-03-05,,,,78,20,1.80,0.00
1,I,0x23297b24125464a4234b3349221f32fe55a2263a0afd54f99d890f77098c2aca,RS0000704,,GlückAuf,2022-03-05,"3923 0000 0784 2310",Apr 19,VISA,26,41,4.00,2.60
1,I,0xe2cf9c74276755cb29343a3c69b725cdea86e4f030fadcbb34939d85a4d89798,RS0000399,,GlückAuf,2022-03-05,,,,61,3,7.80,0.00
1,I,0x216438feac900dd97421233aca462a8423631bc29a0ac7066ccf27be2786aaba,RS0000803,,GlückAuf,2022-03-05,"0000 7337 0400 4400",Jan 19,VISA,80,42,4.00,8.00
1,I,0xaf61e1c0f82789c726eb8021aad7937e66e36a9887d39bc08f292f77e67d9e5f,RS0000764,"40",GlückAuf,2022-03-05,"0000 4183 0505 0500",Aug 20,Mastercard,104,48,5.00,10.40
1,I,0xecd0ee1ae4936624eeb5362c90e58bd104de76735bbda05b58435fa448b19803,RS0000872,"363",GlückAuf,2022-03-05,"0700 1000 0234 1368",Aug 78,Mastercard,33,44,0.80,3.30
1,I,0x63ea1e173715215cff3754fe75b75ac82f3decaf580902a708ad786bc7797a16,RS0000059,,GlückAuf,2022-03-05,,,,54,47,4.80,0.00
1,I,0xb93af78d95f153b70d19d7e666358f4a2f62c2612f58033a116160bd24711ef7,RS0000897,"302",GlückAuf,2022-03-05,"0200 7300 0462 9509",Jan 19,VISA,107,48,8.00,10.70
1,I,0x67efcc0e28f36e048918f7777076adbe03c1963183806135887d78aa2fbcd685,RS0000038,,GlückAuf,2022-03-05,,,,38,32,0.30,0.00
1,I,0xb1048a0d977c84c61c7af2dde0612e38c6bfdd9ba47b2cdeb97b0249882d3be8,RS0000619,"222",GlückAuf,2022-03-05,"0000 2470 0510 0300",Mai 92,VISA,88,5,0.50,8.80
1,I,0x428206aba33215a55daaf639f96922cd776477df135a5403a280137e1dbd5af3,RS0000243,,GlückAuf,2022-03-05,,,,33,20,0.60,0.00
1,I,0x99da65ab3878227ae0a549ecf30344987364c000b1b4e480e6ca9e9e903dff1b,RS0000024,,GlückAuf,2022-03-05,,,,62,11,3.80,0.00
1,I,0x8abd33d645f3cc322e95b5b9fc8bc54cfb05e802bbcd96f1e09ddd37206b94ec,RS0000264,,GlückAuf,2022-03-05,,,,25,37,6.80,0.00
1,I,0xf63e27d85db31ccede01f4c492f248926a708c80fbfc0607f890ed8036d91a41,RS0000259,,GlückAuf,2022-03-05,,,,3,41,4.80,0.00
1,I,0x4a1bdd062a96ebb0cd4bdae90bf34ed52013a40f9f74f098166f46fb66bb047a,RS0000464,"172",GlückAuf,2022-03-05,"0000 8246 0600 4000",Dez 92,American Express,66,2,2.80,0.00
1,I,0xbbe83057b015e16cdff62b3cb6e46a8f32d4ede6c35e41ff8de90f007fd412e1,RS0000054,,GlückAuf,2022-03-05,,,,74,23,2.80,0.00
1,I,0xc131c17e19dff2db8f87ff359efb848e1200ad08a4f5fcbd342cecd3fee4b4eb,RS0000679,"170",GlückAuf,2022-03-05,"0000 4966 5500 7000",Feb 16,VISA,24,33,2.80,0.00
1,I,0x027165be3dfd50f07dc3b42d26f22447abc119a9fe2c11cc64a8737eaf748107,RS0000740,,GlückAuf,2022-03-05,"0000 9161 1500 2000",Mai 18,VISA,101,17,2.00,10.10
1,I,0xc367473b502badd2f6e074fe26a9fd42471f5ce28bf74c11166d33649961f20f,RS0000196,,GlückAuf,2022-03-05,,,,16,13,2.80,0.00
1,I,0xe329c4b36bc6ddd5050dda729e5cc2ea7548ca68882d972466359885f174b937,RS0000750,,GlückAuf,2022-03-05,"0000 6325 9800 2700",Jun 88,Mastercard,107,37,8.00,10.70
1,I,0x7eaac9481973d59370584dc85f6d1040910ac1955ecc23eee02ee1e9874a3570,RS0000194,,GlückAuf,2022-03-05,,,,14,24,4.30,0.00
1,I,0xee99b45d62733c4340b841a2d5eccae3a3358e5be6bef011aa6e3b49586fb29b,RS0000605,"97",GlückAuf,2022-03-05,"0000 5282 0700 0000",Apr 19,VISA,64,32,4.50,6.40
1,I,0xc53b5aae52fde8057f328123f9177a84bed41d6e97749fae0e4acf688ef5b9c1,RS0000138,,GlückAuf,2022-03-05,,,,112,3,3.80,0.00
1,I,0x2b3a385e85dc5b7ebc5be028430c9bd629f634d758268dbfb1d14e8debcc6d67,RS0000710,"282",GlückAuf,2022-03-05,"0000 9060 2500 1000",Nov 13,American Express,121,25,4.00,12.10
1,I,0x486571425ab9f4c6627878ff6ded828e485fe30da4949915401f5c4cb87955ee,RS0000139,,GlückAuf,2022-03-05,,,,86,13,0.30,0.00
1,I,0xb21ce00cae0ec84bbf2964d5abbd0cf39db3e21970076c10db091d41d182af9f,RS0000135,,GlückAuf,2022-03-05,,,,56,47,6.80,0.00
1,I,0x5e291eebbfc2179fe3c4449b9efa5fa456570ae8d058868967bbea59b9992ece,RS0000011,,GlückAuf,2022-03-05,,,,97,21,8.80,0.00
1,I,0x9f2e9e44596ae6a6023845bbb396c58a16f6ac63a8fb85c12a15c2851a16bed5,RS0000323,,GlückAuf,2022-03-05,,,,83,6,0.60,0.00
1,I,0x03ffd7615319e5512f0de1cd34e0b6a96b50a9ec80398184951c37fd0cac6146,RS0000648,,GlückAuf,2022-03-05,"0000 1072 0621 5200",Jan 21,VISA,5,14,5.00,0.50
1,I,0xcf6c786cc90664b94e1c09c351b300c83de6cea4fc51d47f35fe8aeac1b6a614,RS0000358,,GlückAuf,2022-03-05,,,,45,42,1.80,0.00
1,I,0x69594112286dff8822f1354d128367c898fb12411d20fc00bf9ff182c6a2110f,RS0000448,,GlückAuf,2022-03-05,,,,42,34,2.20,0.00
1,I,0x0fd427a1a1af5f1858d51a7f13b1c26ef2e8b0f8570e7d99fb4719bc3524d47e,RS0000529,,GlückAuf,2022-03-05,"0000 1482 0641 6800",Nov 23,VISA,86,46,0.50,8.60
1,I,0x2038925eef46c821aff9c076c67956a813657d20be051d1eb297fe39c1aee2b2,RS0000398,,GlückAuf,2022-03-05,,,,2,45,3.80,0.00
1,I,0xa1c35bfa81c7b083a04675b7770a33af257a67b26a7a73e4efb75fcda9bcc271,RS0000719,,GlückAuf,2022-03-05,"0700 1000 0234 1368",Aug 78,Mastercard,23,7,2.80,0.00
1,I,0x0552b757989f2fae9372a07aa61ee400aef6235875d468c60e35c92ebcf01ee6,RS0000177,,GlückAuf,2022-03-05,,,,16,45,2.80,0.00
1,I,0x2aa0f11936fa84aef4ef77bb27674661802c01cd9b0ab4138adfba600a0f7bd1,RS0000156,,GlückAuf,2022-03-05,,,,47,10,8.80,0.00
1,I,0x5fbfc1a0bb6a70eab133e1235cd07cd43682c8f71b06cbea565beedc2d0e768b,RS0000291,,GlückAuf,2022-03-05,,,,47,42,8.80,0.00
1,I,0x8e720d4d498ce8b62b9c596b52daeb4ac87260f09369dee67a782a352f9ac7d1,RS0000219,,GlückAuf,2022-03-05,,,,1,22,1.80,0.00
1,I,0x366bed1a4e3e1e4df4544b1e6e0cffcc5f7efc17386a1ec4c0bebba08c571b0b,RS0000603,"102",GlückAuf,2022-03-05,"0000 5650 0930 0000",Nov 23,Mastercard,87,7,0.50,8.70
1,I,0x2fe82e28b48d7e577ccca23a8f8124bf4173fa3625e774e750b56b7a437e1dbe,RS0000484,"78",GlückAuf,2022-03-05,"0000 6724 0501 1000",Nov 23,VISA,96,3,7.80,0.00
1,I,0x609c887d0cb93f56dacb6cc46d02560c7403395b928734d84d23facecc0dca38,RS0000105,,GlückAuf,2022-03-05,,,,63,43,4.30,0.00
1,I,0x4a79e11a6dae2cb410af84f3133fd3f6a8c2b0d162c008b974296a7b5aaa88f1,RS0000416,,GlückAuf,2022-03-05,,,,119,31,1.80,0.00
1,I,0x5afdd0a6e3682a78142521b9046af75150b29b70fee3915eeee0b070e90d17d5,RS0000389,,GlückAuf,2022-03-05,,,,66,21,2.80,0.00
1,I,0xb7ab8ee615e5521a3e8819a3b1e7d660df427a64d1c254eb7498ac56035a2549,RS0000267,,GlückAuf,2022-03-05,,,,119,30,1.80,0.00
1,I,0x88bdc57836241e95fe06587a075051a1bd96127c2571fedc320bbbace13ed8b6,RS0000504,,GlückAuf,2022-03-05,"0000 5170 1900 0000",Sep 20,Mastercard,111,25,7.80,0.00
1,I,0xec6e1f43344255efc95500ca6a42d5cc29744d7c8b079248b4525e785e4276cd,RS0000185,,GlückAuf,2022-03-05,,,,109,2,2.80,0.00
1,I,0xd754dd59b0140d38379576478ffc5194b09febd61ae56064dafda69f2e10d062,RS0000281,,GlückAuf,2022-03-05,,,,8,1,7.80,0.00
1,I,0x2038925eef46c821aff9c076c67956a813657d20be051d1eb297fe39c1aee2b2,RS0000126,,GlückAuf,2022-03-05,,,,94,45,3.80,0.00
1,I,0xedcf678f5fe1376fb1e23e1e740a299157f83f6d29b0b9a68e9756f5f330305f,RS0000713,"100",GlückAuf,2022-03-05,"0000 5766 2914 0000",Jun 99,Mastercard,43,18,2.30,4.30
1,I,0x8123562b5d472456aec4738e4b752fd2573f41f1e6c90bf979f4cf276645c6c2,RS0000894,"271",GlückAuf,2022-03-05,"0000 3581 0700 2400",Sep 23,Mastercard,22,5,2.00,2.20
1,I,0x12806e4b4d55e8b2792aec4755341cd0cecf2deed7d7aa8086a186a632533b20,RS0000835,"87",GlückAuf,2022-03-05,"0000 7653 3500 0000",Jul 18,Mastercard,74,16,3.00,7.40
1,I,0xbc7a61a25b79cb82edc048ce20f7633c0fd3aaa60ecb7e0e058436dca23af966,RS0000500,,GlückAuf,2022-03-05,"0501 0100 0967 0118",Sep 17,Mastercard,103,40,4.80,0.00
1,I,0x16d7fe012762861e32e421bf8201d6e1d027de22d9f59e73d46e026e4a9f37f8,RS0000809,"190",GlückAuf,2022-03-05,"0000 7272 0691 1300",Okt 20,Mastercard,93,46,2.10,0.00
1,I,0x5601f9ea499e427ee2e289baf92e03fd744a81bec4b6bef05f5695431b177906,RS0000674,"325",GlückAuf,2022-03-05,"6625 4000 0821 4150",Jan 23,VISA,56,47,6.80,0.00
1,I,0xf4d6c6d18741b080ce1065c833e12d9e70e500b84e261596a1d78caff01025cf,RS0000834,,GlückAuf,2022-03-05,"0000 7863 0700 8800",Feb 14,VISA,29,28,1.50,2.90
1,I,0x92957c6f82b3a073897f3c3a2f0eed9b8a93d0e29b6031623cfba60f9f15f90b,RS0000274,,GlückAuf,2022-03-05,,,,40,17,0.80,0.00
1,I,0x9116fb2b250a1840cfdf7dfbca3ba16316e7b700017a0cae13c7c5e8b752f89a,RS0000069,,GlückAuf,2022-03-05,,,,91,13,1.00,0.00
1,I,0x32eb64415187447a6aeb3f5b8869b8d29c58da09511819469a0c8f1003dec4ed,RS0000429,,GlückAuf,2022-03-05,,,,1,17,1.80,0.00
1,I,0xed13b0b25b5ba87f519dba6346cc7d82f674e16a7a85055ae059ae84b792199a,RS0000588,"200",GlückAuf,2022-03-05,"0000 0560 0695 9500",Okt 23,VISA,42,18,2.40,4.20
1,I,0x66276fbaee7be6b20a467998977ca4104db40d7492f2ed847bc93472205ce83e,RS0000534,,GlückAuf,2022-03-05,"0000 2287 0700 0000",Nov 23,American Express,63,11,4.30,0.00
1,I,0xf490d274e97fd0dcdb2b51a71acc05d228c79fc0f09468ff01484d433decc4ba,RS0000559,,GlückAuf,2022-03-05,"4922 0000 0374 9970",Mai 17,VISA,3,11,4.80,0.00
1,I,0x022bc5fcbd79b07ee6cfbe8ff732a9be922b7049bdc9bf997953ea342c8b1132,RS0000148,,GlückAuf,2022-03-05,,,,90,16,0.80,0.00
1,I,0xd2898086dcc2cf78e854f2d6c7940aeade0b5abfdbd55d475e79625ae8793574,RS0000274,,GlückAuf,2022-03-05,,,,46,42,7.80,0.00
1,I,0xd899b6e0b04f48e4eeefbfccc5b1a5f8cb30498f6833e3ca2a64d85204de8bb4,RS0000623,"75",GlückAuf,2022-03-05,"0000 0380 0800 0000",Mrz 15,VISA,17,24,3.50,1.70
1,I,0xd37f47a9b5c99925440a16c23892664d40ad39154df7bce0022197d297d7f3c5,RS0000744,"246",GlückAuf,2022-03-05,"0000 7277 0621 3900",Feb 20,VISA,80,9,3.80,0.00
1,I,0x67efcc0e28f36e048918f7777076adbe03c1963183806135887d78aa2fbcd685,RS0000415,,GlückAuf,2022-03-05,,,,38,32,0.30,0.00
1,I,0xcc47dc582a8b962e8cb3d8cd0a51a98f4cf5f910df6b00b0bdb2005ea16a98ce,RS0000417,,GlückAuf,2022-03-05,,,,112,37,3.80,0.00
1,I,0x5afdd0a6e3682a78142521b9046af75150b29b70fee3915eeee0b070e90d17d5,RS0000144,,GlückAuf,2022-03-05,,,,74,21,2.80,0.00
1,I,0x8a01fcddfd811a08d5abb9f51f914633c61ce596b128fa624b45687513b0936f,RS0000481,,GlückAuf,2022-03-05,"4600 4600 0405 9080",Sep 23,Mastercard,117,11,3.30,0.00
1,I,0xc152ccdbb920fe3ea7f5d75111cb74e0d25dadae0ac42df4884ff4ae016ba7df,RS0000491,"72",GlückAuf,2022-03-05,"0000 7376 3515 6000",Dez 17,American Express,30,21,3.80,0.00
1,I,0x39e5a54a9df55ee0e8f758f2f441e155cf2782dba511a6a299cd61b878863c57,RS0000219,,GlückAuf,2022-03-05,,,,105,20,4.80,0.00
1,I,0x34fa2e4b533d535de42eca79bb4ef90110298e7df475850641aaf93c474e647c,RS0000462,"190",GlückAuf,2022-03-05,"0000 7272 0691 1300",Okt 20,Mastercard,108,29,7.80,0.00
1,I,0x74b556342596a42b89814b707bde29698effea6324b697909c4ea8aaf7aac3f5,RS0000199,,GlückAuf,2022-03-05,,,,107,31,7.80,0.00
1,I,0x223429fc5b2734ea1706d64d8b6ae4ed7c0ee6b9b6e958851bfae8666e848a57,RS0000058,,GlückAuf,2022-03-05,,,,123,1,2.80,0.00
1,I,0x29eb9e060db22f39106d9f19568b1a46325011f209a48366d87a3b3dd5d0e47d,RS0000294,,GlückAuf,2022-03-05,,,,110,12,0.30,0.00
1,I,0x3e2f0245169535f5c1225e4088364eb05b354a0252bb4620942171bbab0abcab,RS0000628,"50",GlückAuf,2022-03-05,"0000 4754 0502 2000",Mrz 20,VISA,67,36,3.50,6.70
1,I,0x5afdd0a6e3682a78142521b9046af75150b29b70fee3915eeee0b070e90d17d5,RS0000211,,GlückAuf,2022-03-05,,,,59,21,2.80,0.00
1,I,0x4f46dc1321de4c1768d5812544c0a3dced536b70f1d7ff90cb71aa28003336de,RS0000180,,GlückAuf,2022-03-05,,,,51,18,1.80,0.00
1,I,0x1417bd4fc475bdc94e74dc26436cf2c753831ca28118eb0040c68c50a217c8e7,RS0000100,,GlückAuf,2022-03-05,,,,44,46,3.80,0.00
1,I,0xef377afb0b17aa8e98850b995a7dc17c933e07ef778b452e078b4c834b9d06e6,RS0000892,"186",GlückAuf,2022-03-05,"0000 8757 6622 6300",Apr 94,VISA,119,48,2.00,11.90
1,I,0x727162931cd4c74d3029eb846c220ee39eea0ecd570468ac2f300eb4080c4ffe,RS0000367,,GlückAuf,2022-03-05,,,,111,11,7.80,0.00
1,I,0x94378d66c22f22486de212c7983cbab162059fe5e5abad9ed7d679ea0636d94b,RS0000456,"177",GlückAuf,2022-03-05,"0000 5666 3500 3600",Aug 23,VISA,46,41,7.80,0.00
1,I,0xf9a4f8e72fb68ae603821ad5f4c43a45814ce82bc04dd620767699d1215c5ebf,RS0000102,,GlückAuf,2022-03-05,,,,78,40,1.80,0.00
1,I,0xa4056f138b851d58fd83d766e7490033e95616ed0c154d9db97873f0ad5c24f7,RS0000364,,GlückAuf,2022-03-05,,,,97,7,8.80,0.00
1,I,0x7dad1025697168550d4d34fb8ed26c89bbe6dd39ab0cb4ef8a1749a86a5a70a0,RS0000447,,GlückAuf,2022-03-05,,,,30,13,3.80,0.00
